transaction_date,trade_date,ticker,company_name,owner_name,Title,transaction_type,last_price,Qty,shares_held,Owned,Value,stock_value,30_days_later
2022-01-20 11:41:37,2022-01-19,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,1059.46,+20,"377,001",0%,"+$21,189",1037.7581787109375,984.1982421875
2022-01-05 19:29:08,2022-01-03,ANET,"Arista Networks, Inc.",Giancarlo Charles H,Dir,S - Sale,142.48,"-6,660","194,342",-3%,"-$948,908",142.24000549316406,124.3000030517578
2022-01-12 18:30:15,2022-01-10,SWKS,"Skyworks Solutions, Inc.",Terry Robert John,"SVP, Gen. Counsel, Secretary",S - Sale,152.35,"-1,500","8,675",-15%,"-$228,525",149.8867950439453,136.41461181640625
2022-01-28 15:57:12,2022-01-27,FCNCA,First Citizens Bancshares Inc /de/,Hoppe Robert R,Dir,P - Purchase,785.43,+20,300,+7%,"+$15,709",767.094482421875,779.471435546875
2022-01-07 16:25:35,2022-01-05,SSTK,"Shutterstock, Inc.",Oringer Jonathan,"Exec COB, 10%",S - Sale,103.15,"-26,288","12,288,504",0%,"-$2,711,559",100.0067367553711,88.03065490722656
2022-01-28 18:16:29,2022-01-26,ZI,Zoominfo Technologies Inc.,Brown Kirk Norman,10%,S - Sale,50.03,"-42,003","16,436,656",0%,"-$2,101,351",46.68000030517578,54.58000183105469
2022-01-25 16:34:40,2022-01-21,HCI,"Hci Group, Inc.",Graham Andrew L.,"GC, Corporate Secretary",S - Sale,68.89,-784,"109,988",-1%,"-$54,013",64.9874038696289,60.33404159545898
2022-01-31 17:06:21,2022-01-27,XPEL,"Xpel, Inc.",Crumly Richard K.,Dir,S - Sale,58.17,"-37,000","2,608,199",-1%,"-$2,152,330",56.70000076293945,70.43000030517578
2022-01-19 16:03:45,2022-01-18,SPT,"Sprout Social, Inc.",Del Preto Joseph,"CFO, Treasurer",S - Sale,65.24,-900,"106,016",-1%,"-$58,716",66.25,68.01000213623047
2022-01-06 16:57:13,2022-01-04,CPE,Callon Petroleum Co,Bpp Energy Partners LLC,10%,S - Sale,55.37,"-193,605","2,223,593",-8%,"-$10,719,909",55.61000061035156,53.4900016784668
2022-01-25 16:17:56,2022-01-24,GOLF,Acushnet Holdings Corp.,Fila Holdings Corp.,"Dir, 10%",S - Sale,53.59,"-699,819","37,104,008",-2%,"-$37,500,851",47.51319122314453,41.22121810913086
2022-01-21 14:44:31,2022-01-20,GOOG,Alphabet Inc.,Page Lawrence,"Dir, 10%",S - Sale,2747.26,"-8,006","19,638,614",0%,"-$21,994,588",133.50650024414062,130.46749877929688
2022-01-05 16:33:54,2022-01-04,SPT,"Sprout Social, Inc.",Del Preto Joseph,"CFO, Treasurer",S - Sale,76.85,-560,"106,916",-1%,"-$43,036",80.44999694824219,67.0199966430664
2022-01-05 17:39:22,2022-01-03,SQ,"Block, Inc.",Grassadonia Brian,Cash App Lead,S - Sale,162.29,"-3,909","76,510",-5%,"-$634,392",164.02999877929688,127.61000061035156
2022-01-19 18:44:09,2022-01-18,IIVI,II-Vi Inc,Koeppen Christopher,CTO,S - Sale,69.81,-500,"29,699",-2%,"-$34,905",267.1615600585937,283.302001953125
2022-01-05 16:22:40,2022-01-03,DUK,Duke Energy Corp,Young Steven K,"EVP, CFO",S - Sale,104.91,-415,"107,658",0%,"-$43,538",98.57923889160156,98.5411376953125
2022-01-05 16:12:02,2022-01-03,MPWR,Monolithic Power Systems Inc,Sciammas Maurice,"SVPof Sales, Marketing",S - Sale,490.87,"-4,305","320,935",-1%,"-$2,113,195",491.13226318359375,403.2872009277344
2022-01-10 12:55:43,2022-01-07,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,1260.1,+10,"376,796",0%,"+$12,601",1234.288330078125,1070.444580078125
2022-01-24 20:12:23,2022-01-20,SGH,"Smart Global Holdings, Inc.",Pacheco Jack A,"EVP, COO, Pres, Mem Solutions",S - Sale,61.06,"-2,602","103,533",-2%,"-$158,878",29.01000022888184,27.899999618530277
2022-01-03 16:18:26,2021-12-29,KWR,Quaker Chemical Corp,Barry Michael F,Dir,S - Sale,231.21,"-15,000","107,520",-12%,"-$3,468,155",227.2646331787109,196.1280670166016
2022-01-18 18:33:06,2022-01-13,ASAN,"Asana, Inc.",Moskovitz Dustin A.,"Pres, CEO, Chair, 10%",P - Purchase,63.57,"+750,000","16,986,722",+5%,"+$47,678,117",61.59999847412109,61.560001373291016
2022-01-13 19:17:41,2022-01-12,NOW,"Servicenow, Inc.",Luddy Frederic B,Dir,S - Sale,577.36,"-15,000","247,431",-6%,"-$8,660,336",573.3900146484375,610.4600219726562
2022-01-04 21:19:34,2022-01-03,SQ,"Block, Inc.",Whiteley Sivan,"Chief Legal Ofcr., Corp. Sec.",S - Sale,163.01,"-1,483","73,452",-2%,"-$241,744",164.02999877929688,127.61000061035156
2022-01-14 16:15:36,2022-01-14,MAA,Mid America Apartment Communities Inc.,Delpriore Robert J.,"EVP, GC",S - Sale,218.49,"-4,750","39,844",-11%,"-$1,037,828",208.7336883544922,204.58056640625
2022-01-14 16:20:10,2022-01-12,MRNA,"Moderna, Inc.",Bancel Stephane,CEO,S - Sale,219.77,"-19,000","21,877,787",0%,"-$4,175,690",222.88999938964844,160.4199981689453
2022-01-13 17:01:48,2022-01-12,AAWW,Atlas Air Worldwide Holdings Inc,Steen Michael,"EVP, CMO",S - Sale,87.5,"-6,688","68,451",-9%,"-$585,200",85.94999694824219,78.26000213623047
2022-01-06 17:06:56,2022-01-04,GM,General Motors Co,Johnson Gerald,EVP,S - Sale,65.01,"-14,880","34,556",-30%,"-$967,349",65.2925796508789,53.13589096069336
2022-01-05 19:37:54,2022-01-03,PEN,Penumbra Inc,Grewal Harpreet,Dir,S - Sale,285.34,-634,"10,730",-6%,"-$180,906",283.9800109863281,228.1499938964844
2022-01-04 12:14:43,2022-01-03,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,1274.14,+10,"376,712",0%,"+$12,741",1248.0406494140625,1099.2718505859375
2022-01-05 16:55:29,2021-07-29,VSEC,Vse Corp,Ferguson III Mark E,Dir,P - Purchase,56.59,+7,"12,876",0%,+$396,50.10079956054688,49.12346649169922
2022-01-20 16:13:54,2022-01-18,JBL,Jabil Inc,Johnson Bruce Allan,"EVP, Chief HR",S - Sale,69.01,"-11,000","185,758",-6%,"-$759,075",68.56324005126953,60.852149963378906
2022-01-07 13:32:03,2022-01-05,PLMR,"Palomar Holdings, Inc.",Christianson Jon,Chief Underwriting Officer,S - Sale,60.42,"-1,500","93,981",-2%,"-$90,630",58.40999984741211,51.75
2022-01-20 19:14:49,2022-01-20,ZNTL,"Zentalis Pharmaceuticals, Inc.",Bunker Kevin D.,COO,S - Sale,59.99,"-10,000","926,667",-1%,"-$599,912",58.630001068115234,47.65999984741211
2022-01-18 16:28:52,2022-01-14,ACN,Accenture Plc,Etheredge James O,Chief Exec-North America,S - Sale,353.55,"-3,397","5,968",-36%,"-$1,201,006",348.08416748046875,324.26519775390625
2022-01-06 11:36:30,2022-01-05,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,1257.09,+10,"376,776",0%,"+$12,571",1231.3399658203125,1067.9764404296875
2022-01-05 17:45:13,2022-01-04,SAFE,Safehold Inc.,Istar Inc.,10%,P - Purchase,78.66,"+11,622","36,609,592",0%,"+$914,202",78.59683227539062,60.19911956787109
2022-01-04 16:19:53,2021-12-31,PODD,Insulet Corp,McMillan Wayde D.,"EVP, CFO",S - Sale,268.98,"-1,855","20,078",-8%,"-$498,956",266.07000732421875,230.58999633789065
2022-01-19 20:40:37,2022-01-14,SNX,Td Synnex Corp,Witt Marshall,CFO,S - Sale,108.22,-550,"44,327",-1%,"-$59,519",105.11444091796876,100.80335998535156
2022-01-31 17:06:17,2022-01-27,KOD,Kodiak Sciences Inc.,Baker Bros. Advisors LP,"Dir, 10%",P - Purchase,52.02,"+347,665","14,364,512",+2%,"+$18,084,687",51.880001068115234,8.819999694824219
2022-01-31 16:14:43,2022-01-27,COF,Capital One Financial Corp,Cooper Matthew W,GC,S - Sale,146.82,"-6,767","20,396",-25%,"-$993,531",138.1012420654297,150.2828826904297
2022-01-28 19:08:17,2022-01-26,UCTT,"Ultra Clean Holdings, Inc.",Granger Clarence L,Dir,S - Sale,50.83,"-3,000","88,137",-3%,"-$152,490",48.84000015258789,46.040000915527344
2022-01-18 16:59:47,2021-08-11,HAS,"Hasbro, Inc.",Hogg Michael,"EVP, Chief Commercial Officer",S - Sale,98.86,"-5,000","8,316",-38%,"-$494,296",93.5302276611328,92.89537811279295
2022-01-03 14:18:43,2021-12-30,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,1245.98,+10,"376,682",0%,"+$12,460",1220.45751953125,1013.642578125
2022-01-07 16:28:14,2022-01-06,DLTR,"Dollar Tree, Inc.",Jacobs David A.,Chief Strategy Officer,S - Sale,143.0,"-3,395","8,644",-28%,"-$485,488",142.82000732421875,133.49000549316406
2022-01-04 16:05:13,2022-01-03,OXM,Oxford Industries Inc,Holder John R,Dir,P - Purchase,99.58,"+2,500","31,254",+9%,"+$248,955",96.86678314208984,82.34420776367188
2022-01-13 17:15:54,2022-01-12,EA,Electronic Arts Inc.,Jorgensen Blake J,"EVP, CFO",S - Sale,131.96,"-3,315","81,390",-4%,"-$437,433",131.528076171875,133.98988342285156
2022-01-05 17:34:04,2021-12-31,ED,Consolidated Edison Inc,Miller Joseph,"VP, Controller",P - Purchase,85.32,+11,"1,127",+1%,+$965,81.69087982177734,81.03023529052734
2022-01-20 18:46:53,2022-01-18,ZI,Zoominfo Technologies Inc.,Brown Kirk Norman,10%,S - Sale,50.32,"-921,721","16,478,659",-5%,"-$46,378,653",49.2599983215332,56.220001220703125
2022-01-18 17:34:58,2022-01-14,ONTO,Onto Innovation Inc.,Roth Steven R,"SVP, CFO",S - Sale,105.0,"-5,000","18,803",-21%,"-$525,000",105.95999908447266,87.55999755859375
2022-01-05 17:34:49,2021-12-31,ED,Consolidated Edison Inc,Nachmias Stuart,"Pres, CEO CET",P - Purchase,85.32,+20,"1,228",+2%,"+$1,699",81.69088745117188,81.03023529052734
2022-01-03 17:31:43,2021-12-30,VEEV,Veeva Systems Inc,Chamberlain Paul Edward,Dir,S - Sale,260.1,-100,"16,082",-1%,"-$26,010",260.010009765625,224.7400054931641
2022-01-20 16:57:28,2022-01-19,MRTX,"Mirati Therapeutics, Inc.",Cherrington Julie M,Dir,S - Sale,116.07,"-1,475","2,546",-37%,"-$171,203",120.80999755859376,91.0199966430664
2022-01-03 17:09:14,2021-12-30,SYNH,"Syneos Health, Inc.",Brooks Michael Lee,See remarks,S - Sale,103.0,-93,"41,737",0%,"-$9,579",102.83000183105467,88.66000366210938
2022-01-05 16:10:57,2022-01-03,MPWR,Monolithic Power Systems Inc,Tseng Saria,"VP, GC",S - Sale,490.87,"-4,305","246,603",-2%,"-$2,113,195",491.13226318359375,403.2872009277344
2022-01-05 16:40:02,2022-01-03,NEM,Newmont Corp /de/,Palmer Thomas Ronald,"Pres, CEO",S - Sale,61.21,"-7,000","222,525",-3%,"-$428,470",58.02207565307617,58.3551025390625
2022-01-24 17:37:46,2022-01-20,UNH,Unitedhealth Group Inc,Burke Richard T,Dir,S - Sale,469.01,"-9,000","1,397,810",-1%,"-$4,221,044",455.5229797363281,460.25531005859375
2022-01-24 16:07:55,2022-01-21,HWC,Hancock Whitney Corp,Exnicios Joseph S,Pres-Hancock Whitney Bank,S - Sale,53.1,"-5,300","57,599",-8%,"-$281,435",52.093971252441406,53.39826965332031
2022-01-12 17:53:57,2022-01-10,NBIX,Neurocrine Biosciences Inc,Roberts Eiry,Chief Medical Officer,S - Sale,74.5,"-2,632","21,279",-11%,"-$196,088",76.44000244140625,79.91999816894531
2022-01-03 12:03:13,2021-12-30,ALGT,Allegiant Travel Co,Sheldon Scott,"EVP, COO",S - Sale,191.1,"-4,729","33,294",-12%,"-$903,704",188.9900054931641,171.75
2022-01-20 17:35:31,2022-01-18,DXCM,Dexcom Inc,Sayer Kevin R,"COB, CEO, Pres",S - Sale,435.56,"-22,674","97,617",-19%,"-$9,875,800",107.46749877929688,103.40750122070312
2022-01-11 18:55:32,2022-01-10,ZNTL,"Zentalis Pharmaceuticals, Inc.",Bunker Kevin D.,COO,S - Sale,68.41,"-10,000","936,667",-1%,"-$684,097",70.29000091552734,50.7599983215332
2022-01-05 12:06:54,2022-01-03,DIOD,Diodes Inc /del/,Lu Keh Shew,"Pres, CEO",S - Sale,113.18,"-1,870","875,739",0%,"-$211,648",110.98999786376952,91.88999938964844
2022-01-13 15:48:03,2022-01-11,MORN,"Morningstar, Inc.",Mansueto Joseph D,"Exec COB, 10%",S - Sale,307.36,"-47,030","17,687,032",0%,"-$14,455,180",304.3441162109375,294.3162536621094
2022-01-04 16:15:55,2021-12-27,CELH,"Celsius Holdings, Inc.",Fieldly John,CEO,S - Sale,75.0,"-20,000","265,252",-7%,"-$1,500,000",75.0999984741211,44.16999816894531
2022-01-19 19:07:01,2022-01-18,PSMT,Pricesmart Inc,Price Robert E,"Dir, 10%",S - Sale,72.76,"-20,000","2,206,122",-1%,"-$1,455,228",72.11212921142578,70.48262786865234
2022-01-03 16:51:01,2021-12-30,RICK,"Rci Hospitality Holdings, Inc.",Langan Eric Scott,"Pres, CEO",P - Purchase,78.68,"+1,000","702,870",0%,"+$78,679",77.18574523925781,66.63732147216797
2022-01-06 16:15:59,2022-01-04,SRDX,Surmodics Inc,Stich Joseph J.,"SVP, HR, GM, IVD",S - Sale,50.0,"-2,500","45,839",-5%,"-$125,000",48.209999084472656,46.09000015258789
2022-01-31 15:54:09,2022-01-28,NEE,Nextera Energy Inc,Barrat Sherry S,Dir,P - Purchase,71.58,"+2,000","111,674",+2%,"+$143,150",70.53021240234375,75.06361389160156
2022-01-05 17:32:11,2022-01-03,SGEN,Seagen Inc.,Dansey Roger D,Chief Medical Officer,S - Sale,152.58,"-8,675","79,686",-10%,"-$1,323,648",157.85000610351562,137.75
2022-01-20 08:58:12,2022-01-18,JBT,John Bean Technologies Corp,Devine Caroline Maury,Dir,S - Sale,147.49,-300,"48,304",-1%,"-$44,247",145.82310485839844,134.74452209472656
2022-01-19 19:21:37,2022-01-18,ZNTL,"Zentalis Pharmaceuticals, Inc.",Gallagher Cam,Dir,S - Sale,62.64,"-10,000","397,203",-2%,"-$626,376",61.459999084472656,51.56999969482422
2022-01-07 21:45:30,2022-01-05,CDLX,"Cardlytics, Inc.",Sosin Clifford,10%,P - Purchase,62.75,"+70,560","5,416,116",+1%,"+$4,427,688",59.54999923706055,63.08000183105469
2022-01-05 19:34:47,2022-01-04,PEN,Penumbra Inc,Wilder Thomas,Dir,S - Sale,283.99,-80,"4,007",-2%,"-$22,719",276.69000244140625,224.1000061035156
2022-01-04 16:53:59,2022-01-03,VRSK,"Verisk Analytics, Inc.",Shavel Lee,"Group Pres, CFO",S - Sale,227.66,-483,"36,074",-1%,"-$109,960",219.7069854736328,194.83804321289065
2022-01-04 16:05:36,2022-01-03,OXM,Oxford Industries Inc,Wood E Jenner III,Dir,S - Sale,101.87,"-2,150","17,011",-11%,"-$219,021",96.86678314208984,82.34420013427734
2022-01-14 16:30:26,2022-01-12,ZI,Zoominfo Technologies Inc.,Carlyle Group Inc.,10%,S - Sale,57.72,"-19,814","44,241,982",0%,"-$1,143,705",55.08000183105469,56.95000076293945
2022-01-06 16:47:57,2022-01-05,ALB,Albemarle Corp,Tozier Scott,"EVP, CFO",S - Sale,239.94,"-1,527","59,067",-3%,"-$366,388",233.6745758056641,213.26622009277344
2022-01-03 16:06:56,2021-12-29,KFRC,Kforce Inc,Mitchell Kye L.,Chief Operations Officer,S - Sale,75.7,"-22,677","58,048",-28%,"-$1,716,649",74.11597442626953,64.87097930908203
2022-01-06 14:13:10,2022-01-04,PGR,Progressive Corp/oh/,Marshall Mariann Wojtkun,Chief Accounting Officer,S - Sale,102.24,-176,"14,549",-1%,"-$17,994",101.72346496582033,109.11824035644533
2022-01-04 16:15:46,2022-01-03,ADI,Analog Devices Inc,Doluca Tunc,Dir,S - Sale,175.17,"-7,000","779,799",-1%,"-$1,226,190",173.05287170410156,161.5453338623047
2022-01-31 11:00:53,2022-01-28,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,1034.84,+20,"377,131",0%,"+$20,697",1013.6425170898438,1044.06640625
2022-01-28 19:42:35,2022-01-14,CPK,Chesapeake Utilities Corp,Hill Thomas P Jr,Dir,S - Sale,135.07,-988,"33,690",-3%,"-$133,449",133.1123046875,127.66674041748048
2022-01-06 16:18:21,2022-01-04,MEDP,"Medpace Holdings, Inc.",Troendle August J.,"CEO, 10%",S - Sale,213.44,"-3,338","6,189,662",0%,"-$712,463",204.67999267578125,178.11000061035156
2022-01-03 17:25:16,2021-12-30,IBKR,"Interactive Brokers Group, Inc.",Frank Thomas Aj,CIO,S - Sale,80.15,"-32,660","480,625",-6%,"-$2,617,748",79.50895690917969,65.40028381347656
2022-01-07 19:19:04,2022-01-05,WSM,Williams Sonoma Inc,Alber Laura,"Pres, CEO",S - Sale,159.15,"-25,000","447,874",-5%,"-$3,978,855",149.66807556152344,157.7108917236328
2022-01-04 21:35:24,2022-01-03,ARWR,"Arrowhead Pharmaceuticals, Inc.",Waddill William D.,Dir,S - Sale,64.72,"-4,500","25,750",-15%,"-$291,244",69.97000122070312,55.09999847412109
2022-01-24 11:23:29,2022-01-21,TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,1003.35,+20,"377,031",0%,"+$20,067",982.7974853515624,1005.6799926757812
2022-01-11 21:31:52,2022-01-10,AOSL,Alpha & Omega Semiconductor Ltd,Li Wenjun,COO,S - Sale,51.32,"-5,514","14,111",-28%,"-$282,959",51.959999084472656,52.72999954223633
2022-01-05 16:24:14,2022-01-03,GNRC,Generac Holdings Inc.,Jagdfeld Aaron,CEO,S - Sale,350.5,"-5,000","600,913",-1%,"-$1,752,488",347.9100036621094,288.0199890136719
2022-01-24 18:24:29,2022-01-24,NUS,"Nu Skin Enterprises, Inc.",Lipman Andrew D,Dir,S - Sale,50.5,"-1,000","74,214",-1%,"-$50,500",50.7676887512207,51.21406555175781
2022-01-11 12:43:51,2022-01-10,RGR,Sturm Ruger & Co Inc,Wheeler Randall,VP of Newport Operations,S - Sale,67.43,"-2,813","4,316",-39%,"-$189,681",68.36000061035156,67.16000366210938
2022-01-11 16:26:18,2022-01-10,CDLX,"Cardlytics, Inc.",Christiansen Andrew,CFO,S - Sale,61.02,-250,"12,605",-2%,"-$15,255",59.130001068115234,69.87999725341797
2022-01-28 16:19:32,2022-01-27,SPSC,Sps Commerce Inc,Nelson Kimberly K.,"EVP, CFO",S - Sale,115.2,"-3,963","126,205",-3%,"-$456,550",113.81999969482422,128.6300048828125
2022-01-28 16:01:28,2022-01-27,FCNCA,First Citizens Bancshares Inc /de/,Nix Craig L,CFO,P - Purchase,770.24,+129,505,+34%,"+$99,361",770.0599975585938,781.989990234375
2022-01-12 16:43:07,2022-01-10,XPEL,"Xpel, Inc.",Crumly Richard K.,Dir,S - Sale,64.26,"-19,200","2,645,199",-1%,"-$1,233,792",65.58000183105469,61.959999084472656
2022-01-07 16:30:20,2022-01-05,ZI,Zoominfo Technologies Inc.,Cg Subsidiary Holdings L.L.C.,10%,S - Sale,57.15,"-16,241","44,261,796",0%,"-$928,163",54.31999969482422,49.11000061035156
2022-01-04 18:21:23,2021-12-31,SPG,Simon Property Group Inc /de/,Horn Karen N,Dir,P - Purchase,160.28,+304,"29,934",+1%,"+$48,724",159.77000427246094,146.39999389648438
2022-01-19 20:13:25,2022-01-14,RBLX,Roblox Corp,Donato Craig,Chief Business Officer,S - Sale,79.67,"-42,500","1,173,097",-3%,"-$3,385,895",79.05000305175781,66.80999755859375
2022-01-07 14:14:40,2022-01-05,SYBT,"Stock Yards Bancorp, Inc.",Bickel Paul J III,Dir,P - Purchase,65.09,+15,"28,646",0%,+$947,65.08999633789062,58.45000076293945
2022-01-12 21:28:23,2022-01-10,AMN,Amn Healthcare Services Inc,Salka Susan R,CEO,S - Sale,109.47,"-14,309","19,844",-42%,"-$1,566,361",107.05999755859376,102.26000213623048
2022-01-05 16:35:38,2022-01-04,TWST,Twist Bioscience Corp,Banyai William,See Remarks,S - Sale,83.49,-292,"265,998",0%,"-$24,379",77.1500015258789,61.43000030517578
2022-01-20 17:06:39,2022-01-18,ENSG,"Ensign Group, Inc",Shaw Daren,Dir,S - Sale,78.72,"-2,000","38,375",-5%,"-$157,440",77.38999938964844,80.94999694824219
2022-01-06 20:56:31,2022-01-04,ARWR,"Arrowhead Pharmaceuticals, Inc.",Hamilton James C,Senior Vice President,S - Sale,64.57,"-25,625","155,625",-14%,"-$1,654,591",65.04000091552734,52.630001068115234
2022-01-06 13:40:22,2022-01-05,GOOG,Alphabet Inc.,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,2883.62,-48,"3,796",-1%,"-$138,414",137.65350341796875,142.65049743652344
2022-01-06 19:06:33,2022-01-04,DDOG,"Datadog, Inc.",Kopits Laszlo,GC,S - Sale,155.83,"-8,000","174,456",-4%,"-$1,246,654",157.75999450683594,142.1999969482422
2022-01-05 16:11:47,2022-01-03,MPWR,Monolithic Power Systems Inc,Xiao Deming,Pres of MPS Asia Operations,S - Sale,490.87,"-4,305","271,633",-2%,"-$2,113,195",494.8500061035156,406.3399963378906
2022-01-06 14:06:52,2022-01-04,PGR,Progressive Corp/oh/,Callahan Patrick K,Personal Lines Pres,S - Sale,102.24,"-6,261","22,841",-22%,"-$640,125",102.06071472167967,109.4800033569336
2022-01-06 18:14:02,2022-01-06,MAA,Mid America Apartment Communities Inc.,Carpenter Melanie,"EVP, CHRO",S - Sale,223.64,-62,"18,211",0%,"-$13,866",219.79156494140625,212.52999877929688
2022-01-05 16:35:23,2022-01-03,NEM,Newmont Corp /de/,Rhodes Blake,"SVP, Strategic Development",S - Sale,61.21,-500,"55,934",-1%,"-$30,605",60.97999954223633,61.33000183105469
2022-01-18 19:54:56,2022-01-14,TW,Tradeweb Markets Inc.,Bruni Enrico,"MD, Europe, Asia",S - Sale,91.2,"-2,852","76,017",-4%,"-$260,113",91.70999908447266,83.44000244140625
2022-01-13 17:40:20,2022-01-11,VRSN,Verisign Inc/ca,Bidzos D James,"Exec. COB, CEO",S - Sale,236.76,"-8,000","734,390",-1%,"-$1,894,116",236.2400054931641,219.52999877929688
